00211A	Flat File Transfer Through Mail	SendFFThruMail
00211B	Flat File Transfer Through FTP	SendFFThruFTP
00211C	Flat File Transfer Through Direct Copy	SendFFThruDCopy
00212A	Server Name for FTP	FFileFTPServer
00212B	User ID for FTP	FFileFTPUID
00212C	User Password for FTP	FFileFTPUPwd
00212D	IP Address for FTP	FFileFTPIP
00213A	Direct Copy Path	FFileDCopyPath
00400A	Valid Transactions in Goods Inwards	ValidTrnInGIR
00401A	Valid Transactions in Goods Outwards	ValidTrnInGOR
00402A	Apply UniformTax code in Goods Inwards	ApplyUniformTaxinGIR
00403A	Print Size Wise AuditTrail	PrintSizeWiseAuditTrail
00404A	Rate Acceptance in Goods Inwards	RateAlterationInGIR
00405A	Rate Acceptance in Goods Outwards	RateAlterationInGOR
00406A	Allow New Insertions in Goods Inwards(Item Fly)	AllowNewItemInGIR
00407A	Allow New Insertions in Goods Outwards (Item Fly)	AllowNewItemInGOR
00408A	Allow New Insertions in Billing(Item Fly)	AllowNewItemInBilling
00409A	Rate Acceptance in Po in Goods Inwards	PoRateAlterationinGIR
00410A	Permitted Operations Configuration for Goods Inwards	OperationsAllowedInGIR
00411A	Permitted Operations for Goods Outwards	OperationsAllowedInGOR
00412A	Print Receiver Address in Goods Outwards	PrintToAddressGOR
00413A	Fields to be printed in Goods Inward Audit Trail	GIRAuditTrailFields
00414A	Fields to be printed in Goods Outwards audit Trail	GORAuditTrailFields
00414B	Fields to be Printed in Goods Outwards Audit Trail1	GORAuditTrailFields1
00414C	Fields to be Printed in Goods Outwards Audit Trail2	GORAuditTrailFields2
00414D	Fields to be Printed in Goods Outwards Audit Trail3	GORAuditTrailFields3
00414E	Fields to be Printed in Goods Outwards Audit Trail4	GORAuditTrailFields4
00415A	Add-ons & Deductions Included for Cost Appropriation in Goods Inwards	GIRIncAddonDednForCP
00416A	Add-ons & Deductions Included for Cost Appropriation in Goods Outwards	GORIncAddonDednForCP
00417A	Option For Holding Details in PTFile Invoice	HoldDtlPTFileInvoice
00418A	Party Type Allowed in Misc., Receipts and Issues	OperationsAllowedForMultipleTbl
00419A	Display PT File Information Details Using Browse	DisplayPTFileDetails
00420A	StockNo Creation during PT File Loading	GIRStknoGeneration
00421A	Grade Applicable for Stock No.	GradeApplicableForStkNo
00421B	Company PT(XT) File In Path	CompXTFileInPath
00421C	Company PT(XT) File Out Path	CompPTFileOutPath
00421D	PT File Creation - Overwrite/ Append to File	PTFileToOverwriteOrAppend
00421E	LSQ Applicable on Mutiples	ApplicableLSQMutiple
00421F	Whether to Display Bale Details	BaleDtlsTobeDisplay
00421G	Caption For Stock Module for Raymonds	CaptionForStkModule
00422A	Allow Physical Stock Loading with Delimiter 	PhyStkLoadingWithDelimeter
00422B	Show Directory Name for Physical Stock	PhyStkShowDirNm
00422C	Physical Stock Loading Delimiter Character	PhyStkLoadingDelimeter
00423A	Loading Applicable For Master and Stock	LoadingApplicableMaster
00424A	Display Actual Qty From PTFile	DispActQtyFromPTFile
00425A	Validate Classification & Po Dtls	ValidClassificationAndPoDtls
00426A	Whether to Check PTInvoice or StkTrnHdr Table	WhetherCheckPTInvoiceOrSTHTable
00426B	Delete Existent PT File Before Creation	WhetherBeforePTFileCreationDeleted
00501A	Allowed Transactions in Billing Module	OperationsAllowedInPOS
00502A	Allowed Transactions in Bill Returns	OptionsForReturn
00503A	Plain Stationery Used in Billing	PlainStationeryUsed
00504A	Returned Bill Details Printing Options	PrintReturnDetails
00504B	Void Bill Details Printing Options	PrintVoidBillDetails
00505A	Default Setting For Generate Credit Note Option In Billing	GenerateCreditNote
00505B	Donot Prompt For Credit Note Generation If Bill Return Value Is Less Than Specified	MinValForCreditNote
00506A	Print UserId in Bill Printing	PrintUsrIdBill
00507A	Issue Cash Or Adjust/New Credit Note For Remaining Balance	IssueCash
